,Name,Company,City,Ratings,Summary,Date
21,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
22,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
23,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
24,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
25,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
26,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
27,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
28,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
29,Trainee-Data Scientist,Raps Consulting Inc.,"Iselin, NJ",NaN,"Fresh Masters graduates who have specialized in computer science only.
Should have done some college projects on AI, Cloud, Big Data.",18 days ago
30,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
31,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
32,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
33,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
34,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
35,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
36,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
37,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,Interns will work with employees throughout the organization to forward business objectives in the areas of insurance operations and corporate functions.,30+ days ago
38,Private Equity Analyst / Private Equity Associate Internship,Peridot Equity,"Los Angeles, CA",NaN,"Private Equity Analyst/Associate Internship.
You will work directly with the firm's founding partner and be exposed to live deals and transactions.",3 days ago
39,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
40,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
41,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
42,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
43,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
44,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
45,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
46,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
47,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
48,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
49,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
50,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
51,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
52,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
53,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
54,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
55,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
56,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
57,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
58,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
59,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
60,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
61,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
62,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
63,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
64,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
65,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
66,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
67,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
68,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
69,Trainee-Data Scientist,Raps Consulting Inc.,"Iselin, NJ",NaN,"Fresh Masters graduates who have specialized in computer science only.
Should have done some college projects on AI, Cloud, Big Data.",18 days ago
70,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
71,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
72,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
73,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
74,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
75,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
76,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
77,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,Interns will work with employees throughout the organization to forward business objectives in the areas of insurance operations and corporate functions.,30+ days ago
78,Private Equity Analyst / Private Equity Associate Internship,Peridot Equity,"Los Angeles, CA",NaN,"Private Equity Analyst/Associate Internship.
You will work directly with the firm's founding partner and be exposed to live deals and transactions.",3 days ago
79,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
80,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
81,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
82,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
83,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
84,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
85,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
86,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
87,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
88,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
89,Trainee-Data Scientist,Raps Consulting Inc.,"Iselin, NJ",NaN,"Fresh Masters graduates who have specialized in computer science only.
Should have done some college projects on AI, Cloud, Big Data.",18 days ago
90,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
91,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
92,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
93,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
94,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
95,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
96,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
97,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
98,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
99,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
100,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
101,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
102,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
103,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
104,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
105,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
106,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
107,Data Analyst - Dallas Office or Home-Based - Immediate Openi...,Qlarant,"Dallas, TX",3.1,"The Data Analyst III is an entry level professional position that performs study design, data analysis, and report preparation.",Today
108,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
109,Trainee-Data Scientist,Raps Consulting Inc.,"Iselin, NJ",NaN,"Fresh Masters graduates who have specialized in computer science only.
Should have done some college projects on AI, Cloud, Big Data.",18 days ago
110,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
111,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
112,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
113,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
114,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
115,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
116,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
117,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
118,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
119,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
120,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
121,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
122,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
123,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
124,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
125,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Provide engineering and physical insight into mechanical and marine systems for a data science team.
Apply engineering principles to identify trends and events…",30+ days ago
126,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
127,Data Scientist,eBay Inc.,"Austin, TX",3.9,Decision Science contains both data scientists and software engineers responsible for creating and implementing state of the art machine learning algorithms for…,1 day ago
128,Data Scientist I,"C2 Labs, Inc.","Oak Ridge, TN 37830",NaN,"C2 offers a competitive benefits package including comprehensive health insurance, 401k, and 160 hours (20 days) of Paid Time Off (PTO).",9 days ago
129,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
130,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,"Familiar with key data engineering concepts.
0-3 years in data science.
Help with various data analysis and modeling projects projects.",15 days ago
131,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,You will use data exploration techniques to discover new questions or opportunities within your problem area and propose applicability and limitations of the…,30+ days ago
132,Entry Level Scientist - Cell Lab,PPD,"Middleton, WI 53562",3.5,"Responsible for review and compilation of results and data comparison against SOP acceptance criteria, methodology, protocol and product specifications.",1 day ago
133,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"2+ years of experimental data / modeling experience.
2+ years of strong mathematical and statistical data analysis experience.",30+ days ago
134,Jr. Data Scientist,Numero Data LLC,"Herndon, VA 20170",NaN,"Familiarity with programming for data analysis; ideally Python, SQL, or R.
Ideal candidate should have a degree in a quantitative field (e.g., mathematics,…",3 days ago
135,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"End-to-end machine learning process, including analyzing business problem(s), identifying relevant data sources, optimizing source data, model testing and…",30+ days ago
136,Data Scientist Intern,Quaxigma,"Schaumburg, IL 60195",NaN,"1 year experience in solving complex business problems using data science, statistical techniques & machine learning to build predictive & prescriptive…",28 days ago
137,Entry Level Data Scientist,CACI,"Bethesda, MD 20817",3.8,"Comfortable with Python for data analysis.
Apply engineering principles to identify trends and events in complex ship data.",30+ days ago
138,Entry Level Field Biologist/Wetland Scientist,Tetra Tech,"Collinsville, IL 62234",3.8,"Tetra Tech, Inc. is currently seeking applicants for full-time entry level field biologists/wetland scientists in our Collinsville, Illinois office.",30+ days ago
139,Validation Scientist - Entry,VEQTOR,"Chicago, IL",NaN,VEQTOR is currently looking for entry level Validation Scientists with experience in a laboratory and/or pharmaceutical environment.,25 days ago
140,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,NaN,In these positions you will be asked to manipulate and utilize data in order to inform key business decisions and model various market conditions.,15 days ago
141,Full Time Opportunities for Students or Recent Graduates: Da...,Microsoft,"Redmond, WA",4.2,We are looking for highly motivated and passionate Data Scientists to apply rigorous scientific methodology and algorithms to data in order to improve Microsoft…,30+ days ago
142,Data Scientist (Entry Level),Strike Social,"Chicago, IL 60606 (The Loop area)",3.7,"Come help build the next generation of advertising and marketing technology using the latest technologies including Machine Learning, Real-time Analytics, and…",30+ days ago
143,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",NaN,"Accommodation provided during in training in Omaha, NE.
For OPT/CPT/L2/H4 EAD providing Trainings, Accommodation and Placement in 45 days from training start…",16 days ago
144,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",4.2,"Located at the Microsoft New England Research and Development Center (NERD), the Microsoft AI Development Acceleration Program (MAIDAP) is hiring soon-to-be and…",30+ days ago
145,Analytics & Data Science Summer Associate,Arcadia,"Washington, DC 20009 (Logan Circle area)",3.8,"This role reports to the Senior Quantitative Analyst and will collaborate closely with the entire Analytics & Data Science team as well as the Product,…",1 day ago
146,Data Scientist (Research Park),Motorola Solutions,"Champaign, IL",4.1,"This is a full-time position at our University of Illinois-Research Park office.
Designs, develops and programs methods, processes, and systems to consolidate…",30+ days ago
147,Student Internship - Data Scientist - Summer 2020,AF Group,"Lansing, MI 48901",3.8,Interns will work with employees throughout the organization to forward business objectives in the areas of insurance operations and corporate functions.,30+ days ago
